date,open,high,low,close,volume,amount,eos_price,prediction,q10,q20,q30,q40,q50,q60,q70,q80,q90,oct1,oct2,oct3,oct4,oct5,oct6,oct7,rel_interval_width,forecast_slope,ground_truth,pred,pred_proba,lab,meta_label
2022-11-12,17069.98,17119.1,16631.39,16812.08,167819.96035,2827930561.006379,16812.08,16691.514,14934.511,15080.928,15827.654,16398.678,16691.514,17482.164,18009.264,18155.68,18594.93,15026.021362304688,15410.365966796875,16362.07373046875,16691.513671875,17624.919921875,18009.263671875,18411.90966796875,0.21917783858576417,-44.44789341517747,16700.68,0.0,0.5333333333333333,1.0,0.0
2022-11-13,16813.16,16954.28,16229.0,16329.85,184960.78846,3074280132.053523,16329.85,16619.402,14520.109,15394.815,15744.697,16036.266,16619.402,16823.502,17100.49,17348.322,17975.195,14760.653076171875,15635.359130859375,16018.042602539062,16619.40234375,16910.970703125,17202.5390625,17658.114990234375,0.2122258676628033,36.44628906250093,16280.23,0.0,0.43333333333333335,1.0,0.0
2022-11-14,16331.78,17190.0,15815.21,16619.46,380210.7775,6273920325.336827,16619.46,17060.395,15274.5,16116.629,16610.291,16842.604,17060.395,17132.992,17757.332,18149.357,18686.576,15572.148803710938,16298.121826171875,16842.603515625,17060.3955078125,17205.58984375,17967.86328125,18584.94140625,0.21621021930875103,90.74644252232204,15781.29,0.0,0.3,1.0,0.0
2022-11-15,16617.72,17134.69,16527.72,16900.57,282461.84391,4758545355.786832,16900.57,17360.41,16318.786,16608.127,16883.0,17157.873,17360.41,17794.422,17939.092,18517.771,19501.527,16438.139038085938,16673.22802734375,17052.986572265625,17360.41015625,17812.505615234375,18156.0966796875,19385.79296875,0.19613933439930756,36.16755022321507,16226.94,0.0,0.3,1.0,0.0
2022-11-16,16900.57,17015.92,16378.61,16662.76,261493.40809,4362538338.565324,16662.76,16575.902,14673.277,15393.969,15956.107,16460.592,16575.902,16575.902,16950.66,17267.766,17887.56,14882.277221679688,15639.003662109375,16269.607788085938,16575.90234375,16593.919677734375,17152.455078125,17873.146484375,0.1935952483073954,-12.869559151784685,16603.11,1.0,0.6333333333333333,1.0,1.0
2022-11-17,16661.61,16751.0,16410.74,16692.56,228038.97873,3785204632.014221,16692.56,16824.703,14293.808,15185.373,15789.337,16191.979,16824.703,17169.826,17399.906,17716.268,18047.008,14559.8388671875,15278.84375,16087.72314453125,16824.703125,17256.10546875,17507.7568359375,17885.23388671875,0.22611069949078103,23.11083984375205,16598.95,1.0,0.4666666666666667,1.0,1.0
2022-11-18,16692.56,17011.0,16546.04,16700.45,214224.18184,3588467560.373121,16700.45,16782.393,15577.502,15634.878,15921.757,16495.514,16782.393,16925.832,17499.59,17671.715,17944.25,15634.8779296875,15814.17724609375,16423.794067382812,16782.392578125,16943.76171875,17499.58984375,17840.256591796875,0.14324706405314325,10.245675223214665,16522.14,0.0,0.4666666666666667,1.0,0.0
2022-11-19,16699.43,16822.41,16553.53,16700.68,104963.15558,1747627888.1295474,16700.68,16736.5,15692.257,16107.093,16407.492,16450.406,16736.5,17079.812,17494.648,17795.047,18195.578,15735.1708984375,16307.359375,16450.40625,16736.5,17183.521484375,17594.78125,18077.564453125,0.15209834688326507,20.435267857145075,16458.57,0.0,0.5,1.0,0.0
2022-11-20,16700.68,16753.33,16180.0,16280.23,154842.13478,2561165772.4957075,16280.23,16259.817,13934.949,14919.097,15931.768,16117.187,16259.817,16602.13,17015.756,17572.014,18114.008,14334.31298828125,15724.954345703125,16099.357788085938,16259.8173828125,16723.364501953125,17436.515625,17935.720458984375,0.25437425017256304,2.152257287198014e-12,16428.78,0.0,0.4666666666666667,0.0,0.0
2022-11-21,16279.5,16319.0,15476.0,15781.29,324096.997753,5188798317.004153,15781.29,15637.793,13604.88,14671.093,15168.66,15438.767,15637.793,15694.658,16106.927,16632.926,16931.465,14002.932983398438,14962.525634765625,15353.4697265625,15637.79296875,15815.495483398438,16419.682861328125,16828.39794921875,0.20518123895941567,-15.231654575891108,16212.91,1.0,0.6,0.0,0.0
2022-11-22,15781.29,16315.0,15616.63,16226.94,239548.06623,3823612603.803002,16226.94,16229.568,15152.322,15535.027,15875.21,16158.697,16229.568,16442.182,16626.45,16754.016,17335.162,15255.085571289062,15768.9033203125,16140.979248046875,16229.568359375,16459.899658203125,16725.66796875,17204.050537109375,0.13275571604552341,5.062220982144135,16442.53,0.0,0.5,0.0,0.0
2022-11-23,16227.96,16706.0,16160.2,16603.11,264927.70408,4368042618.500261,16603.11,17031.379,15632.12,16112.674,16395.352,16621.494,17031.379,17384.727,17526.066,17554.334,18049.02,15776.992065429688,16289.347412109375,16536.69140625,17031.3779296875,17384.7265625,17526.06640625,17861.74658203125,0.14081508433307272,40.38281250000187,17163.64,0.0,0.4,0.0,0.0
2022-11-24,16603.11,16812.63,16458.05,16598.95,206565.92346,3431724405.654768,16598.95,16501.98,15486.476,15909.603,16219.896,16219.896,16501.98,16784.066,16911.004,17489.28,17644.426,15602.834838867188,16114.114990234375,16219.896484375,16501.98046875,16784.06640625,17312.97607421875,17630.322265625,0.12710744922873804,-7.55587332589147,16977.37,0.0,0.5333333333333333,0.0,0.0
